,slang,formal,
1120,keiknya,sepertinya,
1121,kejadia,kejadian,
1122,kejahatankejahatannya,kejahatan kejahatannya,
1123,kejakarta,ke jakarta,
1124,kejaliman,kezaliman,
1125,kek,kayak,
1126,kekecewan,kekecewaan,
1127,keknya,sepertinya,
1128,kekuasaa,kekuasaan,
1129,kekuatanya,kekuatannya,
1130,kelaperan,kelaparan,
1131,kelar,selesai,
1132,kelen,kalian,
1133,keles,kali,
1134,keliatan,kelihatan,
1135,kelles,kali,
1136,kemane,kemana,
1137,kemaren,kemarin,
1138,kembangin,kembangkan,
1139,keminter,sok pintar,
1140,kemnangan,kemenangan,
1141,kenapah,kenapa,
1142,kenape,kenapa,
1143,kenaps,kenapa,
1144,kenapz,kenapa,
1145,kenceng,kencang,
1146,kencengin,kencangkan,
1147,kepengen,ingin,
1148,kepntingn,kepentingan,
1149,kepo,ingin tahu,
1150,kera2,kera kera,
1151,kerna,karena,
1152,kesalahanya,kesalahannya,
1153,kesampean,kesampaian,
1154,kesel,kesal,
1155,kesian,kasihan,
1156,ketawa,tertawa,
1157,ketidakadilan,ke tidak adilan,
1158,keujanan,kehujanan,
1159,keyen,keren,
1160,kezholiman,kezaliman,
1161,kga,tidak,
1162,kgak,tidak,
1163,kgk,tidak,
1164,khabar,kabar,
1165,khan,kan,
1166,khanz,kan,
1167,khsny,khususnya,
1168,khwtr,khawatir,
1169,killafah,khilafah,
1170,kirain,kiraan,
1171,kirimin,kirimkan,
1172,kitaahok,kita ahok,
1173,kite,kita,
1174,kk,kakak,
1175,kkk,kakak,
1176,kkuasaan,kekuasaan,
1177,kl,kalau,
1178,klau,kalau,
1179,klh,kalah,
1180,kli,kali,
1181,kliatannya,kelihatannya,
1182,kliatn,kelihatan,
1183,klmat,kalimat,
1184,klmpk,kelompok,
1185,klo,kalau,
1186,klp,kelompok,
1187,kls,kelas,
1188,klu,kalau,
1189,kluar,keluar,
1190,kluarga,keluarga,
1191,klw,kalau,
1192,kmaren,kemarin,
1193,kmbali,kembali,
1194,kmenangn,kemenangan,
1195,kmi,kami,
1196,kmn,kemana,
1197,kmna,kemana,
1198,kmps,kampus,
1199,kmr,kamar,
1200,kmren,kemarin,
1201,kmrin,kemarin,
1202,kmrn,kemarin,
1203,kmu,kamu,
1204,kmunduran,kemunduran,
1205,kn,kan,
1206,kna,kena,
1207,knapa,kenapa,
1208,knl,kenal,
1209,knows,tahu,
1210,knp,kenapa,
1211,knpa,kenapa,
1212,kntr,kantor,
1213,knyng,kenyang,
1214,ko,kok,
1215,kodekeras,kode keras,
1216,koentji,kunci,
1217,kolojengking,kalajengking,
1218,koment,komen,
1219,komplek,kompleks,
1220,koncox,teman,
1221,konsen,konsentrasi,
1222,konsititusi,konstitusi,
1223,konslet,korsleting,
1224,konstitusionalitas,konstitusi,
1225,koq,kok,
1226,korputor,koruptor,
1227,kosan,indekos,
1228,kouptor,koruptor,
1229,kowe,kamu,
1230,kpala,kepala,
1231,kpan,kapan,
1232,kpd,kepada,
1233,kpda,kepada,
1234,kpgn,ingin,
1235,kpn,kapan,
1236,kpngn,ingin,
1237,kredibility,kredibilitas,
1238,kren,keren,
1239,krena,karena,
1240,kresten,kristen,
1241,krg,kurang,
1242,krja,kerja,
1243,krmh,ke rumah,
1244,krn,karena,
1245,krna,karena,
1246,krng,kurang,
1247,krnkebanykn,karena banyak,
1248,krupuk,kerupuk,
1249,ksh,kasih,
1250,ksian,kasihan,
1251,ksih,kasih,
1252,ksmptn,kesempatan,
1253,ksn,ke sana,
1254,ksus,kasus,
1255,kt,kita,
1256,kta,kita,
1257,ktauan,ketahuan,
1258,ktdrn,ketiduran,
1259,ktemu,ketemu,
1260,ktika,ketika,
1261,ktmpt,ke tempat,
1262,ktmu,ketemu,
1263,ktny,katanya,
1264,ktnya,katanya,
1265,ktr,kantor,
1266,kudrat,kuadrat,
1267,kudu,harus,
1268,kui,itu,
1269,kultiwiit,twit,
1270,kuq,kok,
1271,kurng,kurang,
1272,kuwi,itu,
1273,kuy,ayo,
1274,kwal,kawal,
1275,kwalitas,kualitas,
1276,kwan,kawan,
1277,kwwkwkwkwkwkwkkw,wkwk,
1278,kya,kayak,
1279,kyak,seperti,
1280,kyaknya,sepertinya,
1281,kyanya,sepertinya,
1282,kyk,kayak,
1283,kykny,sepertinya,
1284,kyknya,sepertinya,
1285,kyny,sepertinya,
1286,kzl,kesal,
1287,ladenin,meladeni,
1288,laen,lain,
1289,laki2,laki laki,
1290,lakuin,lakukan,
1291,lalulintas,lalu lintas,
1292,lam,salam,
1293,lambemu,mulutmu,
1294,lambungkaan,lambungkan,
1295,lambungkeun,lambungkan,
1296,lanang,laki laki,
1297,landasanya,landasannya,
1298,lanjoot,lanjut,
1299,lanjutkeun,lanjutkan,
1300,lanjutt,lanjut,
1301,laper,lapar,
1302,laskarbanyuwangi,laskar banyuwangi,
1303,lawa,lawan,
1304,lawanlawannya,lawan lawannya,
1305,lb,lembar,
1306,lbh,lebih,
1307,lbih,lebih,
1308,leaders,pemimpin,
1309,lebih2,lebih lebih,
1310,leh,boleh,
1311,lelaguan,mendengarkan lagu,
1312,lemes,lemas,
1313,lewatin,melewati,
1314,lewatkan,melewati,
1315,lg,lagi,
1316,lgi,lagi,
1317,lgkp,lengkap,
1318,lgs,langsung,
1319,lgsg,langsung,
1320,lgsng,langsung,
1321,lgsug,langsung,
1322,lgsung,langsung,
1323,lha,lah,
1324,liat,lihat,
1325,liatin,lihat,
1326,lisanny,lisannya,
1327,lkp,lengkap,
1328,lm,lama,
1329,lmyn,lumayan,
1330,lndasan,landasan,
1331,lngkp,lengkap,
1332,lngsg,langsung,
1333,lngsng,langsung,
1334,lngsung,langsung,
1335,lnjt,lanjut,
1336,lnsg,langsung,
1337,lnsng,langsung,
1338,lo,kamu,
1339,loe,kamu,
1340,loh,lah,
1341,lol,wkwk,
1342,lom,belum,
1343,lovers,pecinta,
1344,lp,lupa,
1345,lpngn,lapangan,
1346,lpr,lapar,
1347,lsg,langsung,
1348,lu,kamu,
1349,luarbiasa,luar biasa,
1350,luchu,lucu,
1351,lucu2an,lucu lucuan,
1352,luh,kamu,
1353,lum,belum,
1354,lun,belum,
1355,lurahataucamat,lurah atau camat,
1356,luthu,lucu,
1357,lvl,level,
1358,lw,kamu,
1359,lwt,lewat,
1360,ma,sama,
1361,maaci,terima kasih,
1362,maacih,terima kasih,
1363,maap,maaf,
1364,maapin,maafkan,
1365,mabok,mabuk,
1366,mabu,mabuk,
1367,madesu,masa depan suram,
1368,maen,main,
1369,maenan,mainan,
1370,mager,malas gerak,
1371,mah,adalah,
1372,mahluk,makhluk,
1373,mahokers,ahoker,
1374,mahu,mau,
1375,maidah,almaidah,
1376,majuteruspantangmundur,maju terus pantang mundur,
1377,makaci,terima kasih,
1378,makana,makanya,
1379,makanmakannya,makan makannya,
1380,makanye,makanya,
1381,makasi,terima kasih,
1382,makasihhh,terima kasih,
1383,makn,makan,
1384,maksa,memaksa,
1385,maksdnya,maksudnya,
1386,maksih,terima kasih,
1387,malahnantanginumatislam,malah menantang umat islam,
1388,malem,malam,
1389,malem2,malam malam,
1390,males,malas,
1391,malming,malam minggu,
1392,maluin,memalukan,
1393,malumaluin,memalukan,
1394,mamam,makan,
1395,mampet,mampat,
1396,manaatausiapa,mana atau siapa,
1397,manang,menang,
1398,mane,mana,
1399,maneh,kamu,
1400,manggil,memanggil,
1401,maning,lagi,
1402,mano,mana,
1403,mantag,mantap,
1404,mantapp,mantap,
1405,mantep,mantap,
1406,manusia2,manusia manusia,
1407,mao,mau,
1408,maoo,mau,
1409,marabahaya,mara bahaya,
1410,masakin,memasakkan,
1411,masalalu,masa lalu,
1412,masayarakat,masyarakat,
1413,mascot,maskot,
1414,masiih,masih,
1415,masing2,masing masing,
1416,mateng,matang,
1417,matimatian,berusaha keras,
1418,maw,mau,
1419,mayan,lumayan,
1420,mbedain,membedakan,
1421,mberi,memberi,
1422,mberikan,memberikan,
1423,mboten,tidak,
1424,mbuat,membuat,
1425,mburimu,di belakangmu,
1426,mcm,macam,
1427,mct,macet,
1428,mdg,lebih baik,
1429,mdgn,lebih baik,
1430,mdh,mudah,
1431,mdhmdhn,mudah mudahan,
1432,mdpt,mendapat,
1433,mecah,memecahkan,
1434,mediskreditkan,mendiskreditkan,
1435,medukungmu,mendukungmu,
1436,mele,melulu,
1437,melihatataumenyaksikan,melihat atau menyaksikan,
1438,membadja,membaja,
1439,memilh,memilih,
1440,memperjuangakan,memperjuangkan,
1441,mempressure,menekan,
1442,menangin,memenangkan,
1443,menbangun,membangun,
1444,mendingan,lebih baik,
1445,mendzolimi,menzalimi,
1446,menfitnah,memfitnah,
1447,mengganggap,menganggap,
1448,menghalangmenghalangi,menghalangi,
1449,menghayal,mengkhayal,
1450,menghimbau,mengimbau,
1451,mengugurkan,menggugurkan,
1452,menizta,menista,
1453,menjawad,menjawab,
1454,menjd,menjadi,
1455,menjdikan,menjadikan,
1456,menjdkn,menjadikan,
1457,menwrpa,menerpa,
1458,menyakini,meyakini,
1459,menyelamaykan,menyelamatkan,
1460,merapihkan,merapikan,
1461,merespon,menjawab,
1462,merhatiin,memperhatikan,
1463,meridhoi,meridai,
1464,meriksa,memeriksa,
1465,meris,miris,
1466,mesen,memesan,
1467,mgkin,mungkin,
1468,mgkn,mungkin,
1469,mgunakan,menggunakan,
1470,mhs,mahasiswa,
1471,mhsw,mahasiswa,
1472,mhujat,menghujat,
1473,miapa,demi apa,
1474,miapah,demi apa,
1475,mikir,pikir,
1476,mikirin,memikirkan,
1477,milih,memilih,
1478,milyaran,miliar,
1479,mimpin,memimpin,
1480,minds,pikiran,
1481,mingkem,diam,
1482,minjem,pinjam,
1483,misala,misalnya,
1484,mjaga,menjaga,
1485,mjd,menjadi,
1486,mka,maka,
1487,mkan,makan,
1488,mkanan,makanan,
1489,mkanya,makanya,
1490,mkn,makan,
1491,mknan,makanan,
1492,mkny,makanya,
1493,mksd,maksud,
1494,mksdny,maksudnya,
1495,mksdnya,maksudnya,
1496,mksdq,maksudku,
1497,mksh,terima kasih,
1498,mksih,terima kasih,
1499,mkstnya,maksudnya,
1500,mlah,malah,
1501,mlancarkan,melancarkan,
1502,mlawan,melawan,
1503,mlayu,lari,
1504,mlh,malah,
1505,mlihatmu,melihatmu,
1506,mlm,malam,
1507,mls,malas,
1508,mmbencii,membenci,
1509,mmbla,membela,
1510,mmg,memang,
1511,mmikirkan,memikirkan,
1512,mmng,memang,
1513,mmpraktekkannya,mempraktikannya,
1514,mn,mana,
1515,mna,mana,
1516,mncium,mencium,
1517,mndengar,mendengar,
1518,mndg,lebih baik,
1519,mndgn,lebih baik,
1520,mndgr,mendengar,
1521,mndi,mandi,
1522,mnding,lebih baik,
1523,mndpt,mendapat,
1524,mndptkn,mendapatkan,
1525,mndukung,mendukung,
1526,mndukungmu,mendukungmu,
1527,mnebar,menebar,
1528,mnenangkn,menenangkan,
1529,mng,menang,
1530,mnghemat,menghemat,
1531,mnghilang,menghilang,
1532,mnghna,menghina,
1533,mnghukumny,menghukumnya,
1534,mngkin,mungkin,
1535,mnista,menista,
1536,mnjadi,menjadi,
1537,mnjaga,menjaga,
1538,mnjatuhkan,menjatuhkan,
1539,mnjdi,menjadi,
1540,mnjtuhkan,menjatuhkan,
1541,mnkoplhukam,menko polhukam,
1542,mnkumham,menkumham,
1543,mnrt,menurut,
1544,mnt,minta,
1545,mnta,minta,
1546,mntp,mantap,
1547,mntri,menteri,
1548,mnum,minum,
1549,mnunggu,menunggu,
1550,mnyatu,menyatu,
1551,mnyngkn,menyenangkan,
1552,mo,mau,
1553,modyare,mati,
1554,moga,semoga,
1555,moslems,muslim,
1556,mosok,masa,
1557,motong,memotong,
1558,mreka,mereka,
1559,mrh,marah,
1560,mrka,mereka,
1561,msalah,masalah,
1562,msg,masing,
1563,msh,masih,
1564,msi,masih,
1565,msih,masih,
1566,msjid2,masjid masjid,
1567,msk,masuk,
1568,mski,meski,
1569,mskn,masakan,
1570,msl,misal,
1571,mslh,masalah,
1572,msti,harus,
1573,msuk,masuk,
1574,msuport,mendukung,
1575,msyarakat,masyarakat,
1576,mudahmudahan,mudah mudahan,
1577,mudhmudhn,mudah mudahan,
1578,muke,muka,
1579,mukeje,muka jelek,
1580,multiwarna,banyak warna,
1581,mulutmuharimaumu,mulutmu harimaumu,
1582,mulutny,mulutnya,
1583,mulutrusakbasukiditolak,mulut rusak basuki ditolak,
1584,munafikun,munafik,
1585,munafiq,munafik,
1586,munafiqun,munafik,
1587,muncuk,muncul,
1588,munculah,muncul,
1589,musnahkn,memusnahkan,
1590,musti,harus,
1591,musuhmusuhnya,musuh musuhnya,
1592,muup,maaf,
1593,muuv,maaf,
1594,mz,mas,
1595,n,dan,
1596,nabung,menabung,
1597,naek,naik,
1598,nagara,negara,
1599,nahan,menahan,
1600,nahu,tahu,
1601,nambah,menambah,
1602,named,dinamakan,
1603,nang,di,
1604,nangiss,menangis,
1605,nantangin,menantang,
1606,nanya,bertanya,
1607,naon,apa,
1608,napa,kenapa,
1609,nape,kenapa,
1610,napsu,nafsu,
1611,nasgor,nasi goreng,
1612,nax,ingin,
1613,ncib,persib,
1614,nda,tidak,
1615,ndak,tidak,
1616,ndakk,tidak,
1617,ndax,tidak,
1618,ndk,tidak,
1619,ndoweh,dower,
1620,ndukung,mendukung,
1621,nego,negosiasi,
1622,negri,negeri,
1623,negriku,negeriku,
1624,neh,nih,
1625,neko,macam,
1626,nelen,menelan,
1627,nemenin,menemani,
1628,nemu,menemukan,
1629,nenangin,menenangkan,
1630,nengok,menengok,
1631,nextnya,selanjutnya,
1632,nga,tidak,
1633,ngabungin,menggabungkan,
1634,ngacir,kabur,
1635,ngaco,kacau,
1636,ngadain,mengadakan,
1637,ngahok,ahoker,
1638,ngajak,mengajak,
1639,ngajar,mengajar,
1640,ngajarin,mengajarkan,
1641,ngaji,mengaji,
1642,ngak,tidak,
1643,ngakak,tertawa,
1644,ngakali,mengakali,
1645,ngaku,mengakui,
1646,ngakunya,mengakuinya,
1647,ngalahin,mengalahkan,
1648,ngalahkan,mengalahkan,
1649,ngambek,mengambek,
1650,ngambil,mengambil,
1651,ngamuk,mengamuk,
1652,ngancam,mengancam,
1653,nganiaya,menganiaya,
1654,nganter,mengantar,
1655,nganterin,mengantarkan,
1656,ngantri,mengantre,
1657,nganu,anu,
1658,ngapa,kenapa,
1659,ngapain,apa,
1660,ngarep,mengharap,
1661,ngaruh,berpengaruh,
1662,ngasi,memberi,
1663,ngasih,memberi,
1664,ngatain,memaki,
1665,ngatur,mengatur,
1666,ngawasi,mengawasi,
1667,ngebacot,bacot,
1668,ngebales,membalas,
1669,ngebelain,membela,
1670,ngedit,mengedit,
1671,ngefek,berakibat,
1672,ngegosip,menggosipkan,
1673,ngeh,tau,
1674,ngejar,mengejar,
1675,ngejatuhin,menjatuhkan,
1676,ngelarang,melarang,
1677,ngelewati,melewati,
1678,ngeliat,melihat,
1679,ngeliatin,melihat,
1680,ngeluh,mengeluh,
1681,ngembat,mengembat,
1682,ngena,mengena,
1683,ngene,ini,
1684,ngerasa,merasa,
1685,ngerasain,merasakan,
1686,ngerjain,mengerjakan,
1687,ngerokok,merokok,
1688,ngerti,mengerti,
1689,ngerti2,tau tau,
1690,ngetik,mengetik,
1691,ngetrend,mengetren,
1692,ngetweet,mentwit,
1693,ngg,tidak,
1694,ngga,tidak,
1695,nggax,tidak,
1696,nggesek,menggesek,
1697,nggk,tidak,
1698,nggosok,menggosok,
1699,ngibul,menipu,
1700,ngidam,mengidam,
1701,ngikutin,mengikuti,
1702,ngilangin,menghilangkan,
1703,ngimpi,memimpikan,
1704,ngincer,mengincar,
1705,nginep,menginap,
1706,ngingetin,mengingatkan,
1707,ngisiin,mengisikan,
1708,ngjk,mengajak,
1709,ngk,tidak,
1710,nglawan,melawan,
1711,nglunjak,melonjak,
1712,ngmbl,mengambil,
1713,ngmg,berbicara,
1714,ngmng,berbicara,
1715,ngmpl,berkumpul,
1716,ngmps,ke kampus,
1717,ngntk,mengantuk,
1718,ngntr,ke kantor,
1719,ngobatin,mengobati,
1720,ngobrol,mengobrol,
1721,ngomong,berbicara,
1722,ngomonge,bicaranya,
1723,ngomongin,membicarakan,
1724,ngopi,minum kopi,
1725,ngorek,mengorek,
1726,ngotorin,mengotori,
1727,ngrusak,merusak,
1728,ngucapin,mengucapkan,
1729,ngumpul,berkumpul,
1730,ngundang,mengundang,
1731,ngungsi,mengungsi,
1732,ngunpulin,mengumpulkan,
1733,ngunu,anu,
1734,ngunyah,mengunyah,
1735,ngupload,mengunggah,
1736,nguras,menguras,
1737,ngurus,mengurus,
1738,ngurusin,mengurus,
1739,ngutip,mengutip,
1740,ni,nih,
1741,nich,nih,
1742,nie,nih,
1743,nimbulin,menimbulkan,
1744,ninggalin,meninggalkan,
1745,niru2,meniru,
1746,niy,nih,
1747,njink,anjing,
1748,nmbh,menambah,
1749,nmny,namanya,
1750,nmpk,tampak,
1751,nmr,nomor,
1752,nnti,nanti,
1753,nntn,menonton,
1754,nnton,nonton,
1755,nocomment,tidak berkomentar,
1756,nolak,menolak,
1757,nonggol,nongol,
1758,nongkie,nongkrong,
1759,nonton,menonton,
1760,nov,november,
1761,novnovnov,november,
1762,nraktir,mentraktir,
1763,ntah,entah,
1764,ntar,nanti,
1765,nti,nanti,
1766,ntn,menonton,
1767,nton,menonton,
1768,ntr,nanti,
1769,ntu,itu,
1770,nulis,menulis,
1771,numbers,nomor,
1772,numpang,menumpang,
1773,nunggu,menunggu,
1774,nungguin,menunggu,
1775,nunjuk,menunjuk,
1776,nuntut,menuntut,
1777,nurunin,menuruni,
1778,ny,nya,
1779,nyahok,ahok,
1780,nyahoq,ahok,
1781,nyakitin,menyakiti,
1782,nyalain,menyalakan,
1783,nyama,sama,
1784,nyampe,sampai,
1785,nyang,yang,
1786,nyangka,menyangka,
1787,nyantai,bersantai,
1788,nyari,mencari,
1789,nyebar,menyebar,
1790,nyebarin,menyebarkan,
1791,nyebelin,menyebalkan,
1792,nyebut,menyebut,
1793,nyerah,menyerah,
1794,nyerang,menyerang,
1795,nyesek,menyesal,
1796,nyesel,menyesal,
1797,nyetel,menyetel,
1798,nyiksa,menyiksa,
1799,nykap,ibu,
1800,nykapz,ibu,
1801,nykp,ibu,
1802,nyoba,mencoba,
1803,nyobain,mencoba,
1804,nyoblos,mencoblos,
1805,nyodorin,menyodorkan,
1806,nyogok,menyogok,
1807,nyokap,ibu,
1808,nyuci,mencuci,
1809,nyumbang,menyumbang,
1810,nyundul,menyundul,
1811,nyunsep,terperosok,
1812,nyuri,mencuri,
1813,nyuruh,menyuruh,
1814,nyusul,menyusul,
1815,oatau,atau,
1816,oataupolri,atau polri,
1817,oc,oke,
1818,oce,oke,
1819,ohh,oh,
1820,ok,oke,
1821,okay,ok,
1822,okedech,oke deh,
1823,okedeh,oke deh,
1824,okeh,oke,
1825,okesiip,oke sip,
1826,okt,oktober,
1827,okz,oke,
1828,ol,online,
1829,olang,orang,
1830,olh,oleh,
1831,opo,apa,
1832,opportunis,oportunis,
1833,optimisx,optimis,
1834,ora,tidak berkomentar,
1835,orenken,orenkan,
1836,org,orang,
1837,org2,orang orang,
1838,orgnya,orangnya,
1839,orng,orang,
1840,orngbaik,orang baik,
1841,ortu,orang tua,
1842,otong,titit,
1843,ouch,oh,
1844,ouh,oh,
1845,owh,oh,
1846,pa,pak,
1847,paakk,pak,
1848,pagi2,pagi pagi,
1849,pait,pahit,
1850,pakafif,pak afif,
1851,pakcik,pak cik,
1852,pake,pakai,
1853,pakek,pakai,
1854,palawan,pahlawan,
1855,pamerin,memamerkan,
1856,panasbug,panasbung,
1857,pantengin,perhatikan,
1858,pantes,pantas,
1859,pantesan,pantas saja,
1860,parlimen,parlemen,
1861,pasu,pasukan,
1862,pasutri,pasangan suami istri,
1863,paz,pas,
1864,pcr,pacar,
1865,pcrn,pacaran,
1866,pcrny,pacarnya,
1867,pda,pada,
1868,pdahal,padahal,
1869,pdhal,padahal,
1870,pdhl,padahal,
1871,pdukung,pendukung,
1872,pebruari,februari,
1873,pedes,pedas,
1874,pegi,pergi,
1875,pelajrn,pelajaran,
1876,pelcija,persija,
1877,pemaen,pemain,
1878,pemerintahanya,pemerintahannya,
1879,pemimpinsejati,pemimpin sejati,
1880,pemmpin,pemimpin,
1881,pemrintah,pemerintah,
1882,pen,ingin,
1883,pengadila,pengadilan,
1884,pengen,ingin,
1885,penghadangan,pengadangan,
1886,pengin,ingin,
1887,pengkhianat,penghianat,
1888,peningg,pening,
1889,penistaagama,penista agama,
1890,penistaalquran,penista alquran,
1891,penistaquran,penista alquran,
1892,penjagannya,penjaganya,
1893,penjarakanaho,penjarakan ahok,
1894,penjarakanahok,penjarakan ahok,
1895,penjarakanpenistaagama,penjarakan penista agama,
1896,penjarakanpenistagama,penjarakan penista agama,
1897,penjarkan,penjarakan,
1898,penjarq,penjarakan,
1899,penunggangatauaktor,penunggang atau aktor,
1900,penyelasain,penyelesaian,
1901,peradilankan,peradilan,
1902,perduli,peduli,
1903,perjuanganmasihpanjang,perjuangan masih panjang,
1904,perlemen,parlemen,
1905,permanent,permanen,
1906,persiden,presiden,
1907,pertanggungjawabannya,tanggung jawabnya,
1908,perusakke,perusak,
1909,pesen,pesan,
1910,pg,pergi,
1911,pgen,ingin,
1912,pghadangan,pengadangan,
1913,pghargaan,penghargaan,
1914,pghasiln,penghasilan,
1915,pgluarn,pengeluaran,
1916,pgn,ingin,
1917,phenomenal,fenomenal,
1918,pict,gambar,
1919,pidakan,pidanakan,
1920,pilem,film,
1921,pilkasa,pemilihan kepala daerah,
1922,pilm,film,
1923,piluh,pilu,
1924,pingin,ingin,
1925,pinjem,pinjam,
1926,pinter,pintar,
1927,pinteran,lebih pintar,
1928,pipel,orang,
1929,pisan,banget,
1930,pjagaannya,penjagannya,
1931,pjebat,pejabat,
1932,pk,pak,
1933,pkai,pakai,
1934,pke,pakai,
1935,pkl,pukul,
1936,plaku,pelaku,
1937,planggaran,pelanggaran,
1938,playing,memainkan,
1939,plersija,persija,
1940,plg,pulang,
1941,plintar,pintar,
1942,plis,tolong,
1943,pljrn,pelajaran,
1944,plng,pulang,
1945,pls,tolong,
1946,pmimpin,pemimpin,
1947,pncitraan,pencitraan,
1948,pndh,pindah,
1949,pndkng,pendukung,
1950,pngecu,pengecut,
1951,pngen,ingin,
1952,pngn,ingin,
1953,pngorbananmu,pengorbananmu,
1954,pngusung,pengusung,
1955,pnistaan,penistaan,
1956,pnjng,panjang,
1957,pnting,penting,
1958,pntng,penting,
1959,pny,punya,
1960,pnya,punya,
1961,pokoe,pokoknya,
1962,pokokny,pokoknya,
1963,pokonya,pokoknya,
1964,polih,pulih,
1965,political,politik,
1966,politicians,polutikus,
1967,politk,politik,
1968,polriharusnetral,polri harus netral,
1969,poltik,politik,
1970,praktek,praktik,
1971,praperadilanpengadilan,praperadilan pengadilan,
1972,prasaan,perasaan,
1973,prayforahok,pray for ahok,
1974,prgi,pergi,
1975,prilaku,perilaku,
1976,prmhn,perumahan,
1977,prmptn,perempatan,
1978,prnah,pernah,
1979,prnh,pernah,
1980,programataujanji,program atau janji,
1981,proove,membuktikan,
1982,proseshukum,proses hukum,
1983,provocated,terprovokasi,
1984,prtai,partai,
1985,prthnkn,pertahankan,
1986,psantren2,pesantren pesantren,
1987,psl,pasal,
1988,psng,pasang,
1989,psr,pasar,
1990,pst,pasti,
1991,psti,pasti,
1992,ptg,penting,
1993,pulitik,politik,
1994,puna,punah,
1995,punye,punya,
1996,pura2,pura pura,
1997,puser,pusar,
1998,putaranpilkada,putaran pilkada,
1999,putaransaja,putaran saja,
2000,puter,putar,
2001,puterin,memutari,
2002,pzt,pasti,
2003,q,aku,
2004,qaqa,kakak,
2005,qq,kakak,
2006,qt,kita,
2007,qta,kita,
2008,quran,alquran,
2009,rabb,rabi,
2010,rabbal,rabi,
2011,rabbika,rabi,
2012,rada,agak,
2013,raimu,mukamu,
2014,rakyatcerdas,rakyat cerdas,
2015,rame,ramai,
2016,rame2,ramai ramai,
2017,rameken,ramaikan,
2018,ramekeun,ramaikan,
2019,rangorang,orang orang,
2020,rasane,rasanya,
2021,rates,nilai,
2022,rb,ribu,
2023,rbuan,ribu,
2024,reak,teriak,
2025,reborn,lahir kembali,
2026,rebuan,ribuan,
2027,rekayasana,rekayasanya,
2028,renew,memperbarui,
2029,ributin,meributkan,
2030,ripd,daripada,
2031,riziek,rizieq,
2032,riziq,rizieq,
2033,rkyt,rakyat,
2034,rmbt,rambut,
2035,rmh,rumah,
2036,rmhq,rumahku,
2037,robb,allah,
2038,roll,gulungan,
2039,rosulullah,rasulullah,
2040,rp,rupiah,
2041,rsk,rusak,
2042,rumongso,menurut,
2043,runs,lari,
2044,rushmoney,rush money,
